empEID,empID,snapDate,firstName,lastName,mgrEID,mgrID,costCenter,costCenterName,divisionName
PCS200,542833,9/13/2016,NULL,NULL,SZM492,180850,21230,"LM Specialty","Auto Finance"
VIJ026,379689,9/13/2016,NULL,NULL,ERX912,387695,27103,"Mortgage Customer Office","Home Loans"
FEX203,249966,9/13/2016,NULL,NULL,GPI839,169569,27154,"Mortgage BRO Cross Function","Home Loans"
DEE130,431501,9/13/2016,NULL,NULL,ZHH095,182061,21413,"RBC - Remote","Auto Finance"
AKL370,122288,9/13/2016,NULL,NULL,FTH668,376823,21630,"LO Strategy & Command Ctr","Auto Finance"
YSQ116,544128,9/13/2016,NULL,NULL,NAC662,349208,21242,"Repo (Tulsa)","Auto Finance"
NRU090,354042,9/13/2016,NULL,NULL,RDP180,260495,21630,"LO Strategy & Command Ctr","Auto Finance"
PVW424,471601,9/13/2016,NULL,NULL,MRD053,390591,21543,"DataLabs India","Financial Services Rollup"
AOI739,474476,9/13/2016,NULL,NULL,QIE229,348734,21262,"Manual Collections Tulsa 3","Auto Finance"
TXE775,524644,9/13/2016,NULL,NULL,EXT403,21336,21204,"Bankruptcies (Plano)","Auto Finance"
NTT484,401129,9/13/2016,NULL,NULL,ZRE740,368512,27133,"Home Loans Analytics","Home Loans"
KHF451,153265,9/13/2016,NULL,NULL,VZE191,181638,21135,"Dealer Risk Management","Auto Finance"
FMV455,485453,9/13/2016,NULL,NULL,PCH338,219464,21542,"FS Garage Non-TECH","Financial Services Rollup"
SQC397,447389,9/13/2016,NULL,NULL,JQP660,216282,21218,"Credit Bureau Solutions","Auto Finance"
BCB047,151461,9/13/2016,NULL,NULL,EYV201,371893,27151,"Mortgage Direct M&A","Home Loans"
FYI731,532420,9/13/2016,NULL,NULL,RVJ915,376735,17836,"Customer Service HL","Home Loans"
VTA714,379736,9/13/2016,NULL,NULL,HVK461,235986,21403,"Titles & Total Loss","Auto Finance"
ISJ825,547120,9/13/2016,NULL,NULL,PPZ620,543242,21245,"Customer Care (Tulsa)","Auto Finance"
RRL574,484630,9/13/2016,NULL,NULL,HMA365,152432,17812,"HL Tech Svg & Default","Financial Services IT"
GPC316,163770,9/13/2016,NULL,NULL,MUR046,316141,21408,"RBC - Chicago","Auto Finance"
JQG477,478665,9/13/2016,NULL,NULL,KBZ599,294471,21045,"FS Chief of Staff Team","Financial Services Rollup"
THZ406,528620,9/13/2016,NULL,NULL,JJS067,236261,21543,"DataLabs India","Financial Services Rollup"
RQN986,344667,9/13/2016,NULL,NULL,TBS456,223531,21414,"RBC - DC","Auto Finance"
EXA737,222136,9/13/2016,NULL,NULL,DBZ939,225330,21045,"FS Chief of Staff Team","Financial Services Rollup"
NBF984,153868,9/13/2016,NULL,NULL,OBV240,209845,21032,"COAF M&A","Auto Finance"
GLG022,430640,9/13/2016,NULL,NULL,WXZ873,327889,21236,"Dealer Recovery","Auto Finance"
DDT394,387824,9/13/2016,NULL,NULL,MBH865,258985,21245,"Customer Care (Tulsa)","Auto Finance"
JYP520,518254,9/13/2016,NULL,NULL,QOY679,423747,28512,"HL Servicing Digital","Home Loans"
TLP763,332809,9/13/2016,NULL,NULL,SZM492,180850,21238,"LM - Resolution and Retention","Financial Services Rollup"
XPL809,473878,9/13/2016,NULL,NULL,GPI839,188589,27154,"Mortgage BRO Cross Function","Home Loans"
GKK327,470681,9/13/2016,NULL,NULL,EVH866,193641,21102,"Dealer Funding","Auto Finance"
NDH397,529416,9/13/2016,NULL,NULL,JLD299,363720,21262,"Manual Collections Tulsa 3","Auto Finance"
FEP309,350190,9/13/2016,NULL,NULL,GDH405,360718,21543,"DataLabs India","Financial Services Rollup"
ZGN716,426495,9/13/2016,NULL,NULL,LDG412,423238,27149,"HL Fraud/AML","Financial Services Rollup"
LYZ023,490277,9/13/2016,NULL,NULL,GHS598,193663,21413,"RBC - Remote","Auto Finance"
